icd_10,name,id
M65.3,Trigger finger (finger disorder),385
I48.91,Arrhythmia,720
I50.9,Peripheral arterial disease,569
H16.9,Cornea infection,203
H04.12,Dry eye of unknown cause,371
I74.3,Peripheral arterial embolism,632
E78.5,Hyperlipidemia,747
N32.0,Bladder obstruction,586
D89.2,Hypergammaglobulinemia,159
B35.1,Onychomycosis,503
S32.9,Fracture of the pelvis,745
K57.90,Diverticulosis,325
C64.9,Kidney cancer,642
T19.2,Foreign body in the vagina,60
J32.9,Chronic sinusitis,206
G12.21,Amyotrophic lateral sclerosis (ALS),515
D23.9,Skin polyp,660
B37.9,Yeast infection,666
J02.0,Strep throat,783
M54.5,Lumbago,565
S29.9,Injury to the trunk,262
N94.8,Vulvodynia,268
K44.9,Hiatal hernia,300
Q90.9,Down syndrome,683
H80.90,Otosclerosis,261
L68.0,Hirsutism,322
A07.0,Acariasis,756
H40.9,Glaucoma,35
F44.9,Conversion disorder,259
G21.19,Extrapyramidal effect of drugs,301
L90.9,Atrophic skin condition,392
L83,Acanthosis nigricans,464
K83.09,Ascending cholangitis,608
M35.00,Sjogren syndrome,786
R00.1,Sick sinus syndrome,33
M31.9,Vasculitis,270
O03,Spontaneous abortion,739
M65.9,Tendinitis,513
Q05,Spina bifida,667
L28.0,Lichen simplex,754
C18.9,Colorectal cancer,757
G25.3,Myoclonus,243
H66.001,Otitis media,351
A54.9,Gonorrhea,150
H43.81,Vitreous degeneration,391
S71.001A,Open wound of the hip,85
M54.3,Sciatica,315
A92.30,West Nile virus,328
K56.6,Intestinal obstruction,476
I10,Malignant hypertension,670
T78,Allergy,304
E73.9,Lactose intolerance,694
F78.0,Fetal alcohol syndrome,54
H05.01,Orbital cellulitis,340
L21.9,Seborrheic dermatitis,361
G47.41,Narcolepsy,368
C95.9,Leukemia,120
C74.9,Adrenal cancer,124
L22,Diaper rash,592
M94.0,Tietze syndrome,256
E03.9,Hypothyroidism,263
I62.00,Subdural hemorrhage,49
R58.9,Idiopathic nonmenstrual bleeding,75
G43.909,Migraine,549
K90.0,Celiac disease,645
D14.1,Vocal cord polyp,106
K11.9,Salivary gland disorder,28
H81.0,Meniere disease,302
C80.1,Metastatic cancer,384
M51.30,Degenerative disc disease,321
M26.9,Jaw disorder,638
J43.9,Emphysema,62
I25.10,Coronary atherosclerosis,71
D61.9,Aplastic anemia,168
I73.00,Raynaud disease,627
R00.1,Sinus bradycardia,651
F44.9,Dissociative disorder,698
G25.81,Restless leg syndrome,61
S06.0X9,Concussion,271
R01.2,Premature ventricular contractions (PVCs),134
M81.9,Osteoporosis,438
N39.0,Cystitis,646
K70.9,Alcoholic liver disease,669
M87.9,Avascular necrosis,782
B37.3,Vaginal yeast infection,79
J82,Pulmonary eosinophilia,84
F34.1,Dysthymic disorder,2
D64.9,Anemia,512
K59.1,Chronic constipation,655
A58,Granuloma inguinale,769
F42,Obsessive compulsive disorder (OCD),771
K80.5,Choledocholithiasis,45
M46.9,Spondylitis,72
K21.9,Gastroesophageal reflux disease (GERD),284
K31.84,Gastroparesis,187
H01.009,Blepharitis,644
L81.9,Skin pigmentation disorder,758
M79.7,Chronic pain disorder,40
S28.1,Crushing injury,95
E63.9,Protein deficiency,242
J18.9,Pneumonia,132
H68.009,Eustachian tube dysfunction (ear disorder),695
E53.9,Vitamin B deficiency,712
G40.9,Epilepsy,778
O20.0,Threatened pregnancy,356
E11.22,Diabetic kidney disease,175
K04.7,Tooth abscess,374
B75,Trichinosis,395
B26.9,Mumps,689
S93.9,Injury of the ankle,772
C41.9,Bone cancer,343
K56.0,Ileus,439
F45.0,Somatization disorder,613
C71.9,Brain cancer,21
G51.0,Bell palsy,121
S63.0,Dislocation of the wrist,497
S02.9,Fracture of the facial bones,636
G89.29,Neuralgia,279
H10.45,Conjunctivitis due to allergy,122
B09,Viral exanthem,466
N64.3,Galactorrhea of unknown cause,761
D58.0,Spherocytosis,625
J04.10,Tracheitis,637
T88.7X5A,Drug poisoning due to medication,668
M06.821,Lateral epicondylitis (tennis elbow),172
R31.9,Temporary or benign blood in urine,500
J91.8,Pleural effusion,709
L30.9,Eczema,596
