symptoms0symptom,id,icd-10-name,icd-10
Peripheral edema,"[208, 376, 658, 304, 374, 488, 342, 241, 343, 113, 383, 413, 423, 214, 133, 670, 571, 318, 331, 518, 273, 543, 638, 545, 542, 287, 462, 510, 669, 298, 340, 355, 358, 645, 559, 47, 643, 28, 536, 686, 734, 574, 586, 178, 456, 532, 538, 636, 654, 786, 584, 46, 286, 123, 171, 417, 247, 309, 121, 465, 622]","Edema, unspecified",R60.9
Elbow cramps or spasms,"[208, 463, 635, 675, 336, 272, 377, 380, 762, 255, 275, 119, 63, 293, 755, 759, 602, 8, 22, 691, 698, 101, 389, 62, 446, 323, 445, 477, 82, 524, 663, 672, 732, 261, 716, 292, 452, 721, 232, 584, 625, 152]",Cramp and spasm,R25.2
Wrist swelling,"[226, 627, 18, 161, 258, 738, 263, 543, 600, 44, 408, 111, 772, 401, 686, 103, 699, 193, 350]",Effusion/swelling of unspecified wrist,M25.439
Leg lump or mass,"[270, 265, 241, 318, 777, 776, 645, 544, 534]","Localized swelling, mass and lump of lower limb",R22.4
Chest tightness,"[347, 577, 129, 488, 284, 383, 561, 571, 414, 215, 225, 134, 48, 651, 62, 256, 726, 418, 720, 82, 71, 234, 252, 4, 457, 664, 59, 294, 14, 507, 105, 486, 746, 247, 311, 348, 517, 622, 751]",Other chest pain,R07.89
Skin swelling,"[376, 708, 563, 587, 106, 304, 374, 553, 693, 737, 580, 94, 392, 714, 272, 165, 415, 639, 758, 214, 227, 359, 133, 490, 535, 557, 791, 633, 99, 240, 143, 660, 210, 466, 545, 386, 503, 520, 567, 58, 3, 462, 77, 373, 650, 97, 335, 427, 28, 411, 725, 734, 178, 422, 456, 540, 604, 91, 330, 629, 583, 596]","Localized swelling, mass and lump, unspecified",R22.9
Fluid in ear,"[436, 443, 80, 129, 498, 683, 630, 34, 338, 228, 695, 351, 411, 207, 233, 216, 305, 148, 680]",Other specified disorders of ear,H93.8
Low back weakness,"[463, 230, 675, 336, 272, 1, 762, 255, 275, 119, 63, 293, 382, 704, 602, 698, 744, 389, 761, 213, 323, 327, 245, 307, 663, 732, 261, 544, 716, 582, 292, 232, 60, 625, 706]",Muscle weakness,M62.81
Frequent menstruation,"[494, 75, 372, 609]",Excessive/frequent menstruation,N92.0
Vulvar sore,"[658, 635, 612, 735, 337, 711, 535, 254, 395, 760, 367, 196, 393, 628, 496, 539, 792, 568, 220, 149, 554, 769]",Other specified noninflammatory disorders of vulva,N90.8
Symptoms of the scrotum and testes,"[701, 262, 526, 320, 136, 249, 595, 445, 551, 217, 447]","Disorder of male genital organs, unspecified",N50.9
